,aiddata_id,aiddata_2_id,year,donor,recipient,commitment_amount_usd_constant,coalesced_purpose_code,coalesced_purpose_name
68390,88004552,7795104,1989,Germany,India,28957488,32120,Industrial development
67566,87563629,7856691,1989,Sweden,South Africa,12835,16010,Social/ welfare services
68647,88133841,7815277,1989,Italy,Chile,450574,32120,Industrial development
67971,87792119,7949206,1989,United States,Thailand,464733,16010,Social/ welfare services
67676,87630635,7845383,1989,Sweden,India,6520418,23030,Power generation/renewable sources
67966,87790479,7857405,1989,Sweden,South Africa,205367,16010,Social/ welfare services
67829,87712585,7981164,1989,Japan,Thailand,27089271,23030,Power generation/renewable sources
68553,88085700,7932500,1989,Canada,Chile,695383,32120,Industrial development
68444,88036100,10414486,1989,Germany,Poland,1368234525,60040,RESCHEDULING AND REFINANCING
62248,84748719,7981127,1989,Japan,Thailand,156771475,22020,Telecommunications
92,3003168,,1989,United States,Chile,54947693,32120,Industrial development
504,3007774,,1989,United States,Korea,6522562,32120,Industrial development
974,3009311,,1989,United States,India,533464,32120,Industrial development
63829,85560117,7949239,1989,United States,Thailand,7672164,16010,Social/ welfare services
63826,85557961,7843531,1989,Sweden,India,179696561,23030,Power generation/renewable sources
453,3004533,,1989,United States,Thailand,17040193,23020,Power generation/non-renewable sources
64277,85805328,7909163,1989,United Kingdom,Thailand,2020009,32120,Industrial development
1221,3011016,,1989,United States,Colombia,3359935,32220,Mineral/Metal prospection and exploration
64963,86167309,7982214,1989,Japan,Brazil,25469500,32220,Mineral/Metal prospection and exploration
70040,88889885,7771894,1989,France,Colombia,33321756,22020,Telecommunications
70043,88891409,7892503,1989,Sweden,India,141190155,23030,Power generation/renewable sources
70333,89040783,7758607,1989,Sweden,South Africa,128355,16010,Social/ welfare services
64960,86166841,7949338,1989,United States,India,1793705,16010,Social/ welfare services
66047,86774653,10415423,1989,Germany,Poland,1054081481,60040,RESCHEDULING AND REFINANCING
62825,85040767,7795146,1989,Germany,India,21718116,21030,Rail transport
63685,85483209,7983570,1989,Japan,Korea,390979,32120,Industrial development
63369,85326455,7815145,1989,Italy,Chile,2938523,16010,Social/ welfare services
1138,3009916,,1989,United States,Korea,35099537,32120,Industrial development
70600,89174690,7857269,1989,Sweden,South Africa,112703,16010,Social/ welfare services
63677,85479105,7771202,1989,France,India,16022369,32120,Industrial development
64413,85878698,7845420,1989,Sweden,India,179696561,23030,Power generation/renewable sources
500,3007770,,1989,United States,Korea,9783843,32120,Industrial development
501,3007771,,1989,United States,Korea,3261281,32120,Industrial development
502,3007772,,1989,United States,Korea,3611869,32120,Industrial development
503,3007773,,1989,United States,Korea,5870306,32120,Industrial development
546,3007984,,1989,United States,Brazil,2174182,21050,Air transport
1256,3011115,,1989,United States,Korea,1956769,32120,Industrial development
505,3007775,,1989,United States,Korea,8968523,32120,Industrial development
506,3007776,,1989,United States,Korea,1630640,22020,Telecommunications
65699,86584910,7982246,1989,Japan,Brazil,22565083,32120,Industrial development
62916,85088411,7838991,1989,Norway,India,1211474,22020,Telecommunications
545,3007983,,1989,United States,Brazil,5329341,21050,Air transport
65996,86746613,7978197,1989,Japan,Chile,502687,16010,Social/ welfare services
63903,85591525,7795022,1989,Germany,India,166397448,32220,Mineral/Metal prospection and exploration
997,3009381,,1989,United States,Colombia,23562755,22020,Telecommunications
69790,88755551,7949272,1989,United States,Thailand,1010997,16010,Social/ welfare services
69193,88434709,7876255,1989,Sweden,India,138623,16010,Social/ welfare services
63519,85398922,7804525,1989,Italy,Chile,509344,16010,Social/ welfare services
64565,85953598,7859602,1989,Sweden,Chile,62124,16010,Social/ welfare services
219,3003575,,1989,United States,Colombia,20761315,32120,Industrial development
69356,88507368,7793827,1989,Germany,India,115829952,32220,Mineral/Metal prospection and exploration
710,3008450,,1989,United States,Thailand,78271,32220,Mineral/Metal prospection and exploration
63522,85400878,7905643,1989,United Kingdom,India,49237719,23030,Power generation/renewable sources
854,3008919,,1989,United States,India,1123312,21030,Rail transport
66297,86907813,7932632,1989,Canada,Colombia,340397,32120,Industrial development
69471,88578592,10415665,1989,Sweden,Poland,3850,16010,Social/ welfare services
66296,86907774,7932467,1989,Canada,Colombia,607852,32120,Industrial development
66292,86905466,7819275,1989,Italy,Colombia,25684982,23030,Power generation/renewable sources
62604,84927088,7931213,1989,Canada,Brazil,792639,32120,Industrial development
69566,88634185,7816036,1989,Italy,Brazil,548524,16010,Social/ welfare services
62607,84927751,7978652,1989,Japan,Chile,413321,16010,Social/ welfare services
544,3007982,,1989,United States,Brazil,85308588,21050,Air transport
289,3003907,,1989,United States,Brazil,3187902,23020,Power generation/non-renewable sources
65114,86238498,7981018,1989,Japan,Korea,69259167,32120,Industrial development
62608,84927790,7979115,1989,Japan,India,61953442,32120,Industrial development
69711,88707915,7809897,1989,Italy,Thailand,1488852,21030,Rail transport
65109,86235371,7770708,1989,France,India,301220540,23030,Power generation/renewable sources
63527,85404977,8148399,1990,United Kingdom,Colombia,9218863,23020,Power generation/non-renewable sources
64149,85730671,8131886,1990,Sweden,Thailand,4486451,32120,Industrial development
1152,3010176,,1990,United States,Brazil,1680069,21050,Air transport
67973,87794811,8118637,1990,Sweden,South Africa,98702,16010,Social/ welfare services
711,3008451,,1990,United States,Thailand,1786927,32120,Industrial development
642,3008305,,1990,United States,Colombia,3561592,32220,Mineral/Metal prospection and exploration
67976,87796254,8195704,1990,United States,India,361113,16010,Social/ welfare services
63299,85280684,8050876,1990,Italy,Colombia,4736926,22020,Telecommunications
1160,3010281,,1990,United States,Colombia,1730201,32120,Industrial development
65034,86195302,8097225,1990,Sweden,South Africa,265355,16010,Social/ welfare services
62966,85116814,10415731,1990,Germany,Poland,416153513,60040,RESCHEDULING AND REFINANCING
65702,86586470,8118399,1990,Sweden,South Africa,527276,16010,Social/ welfare services
161,3003397,,1990,United States,Brazil,9814416,22020,Telecommunications
1145,3010166,,1990,United States,Brazil,45077233,21050,Air transport
548,3007986,,1990,United States,Brazil,7613199,21050,Air transport
881,3008963,,1990,United States,India,4363043,32120,Industrial development
66608,87062443,8168659,1990,Canada,Thailand,7606154,32120,Industrial development
63223,85253191,8184701,1990,United States,Thailand,2669094,16010,Social/ welfare services
138,3003356,,1990,United States,India,29539023,32120,Industrial development
65434,86441323,8226136,1990,Japan,Thailand,43693844,32120,Industrial development
62373,84817428,8226061,1990,Japan,Thailand,89113594,21030,Rail transport
1074,3009610,,1990,United States,Chile,37855606,22020,Telecommunications
628,3008250,,1990,United States,Chile,94203326,32120,Industrial development
64199,85758461,8097187,1990,Sweden,South Africa,23613,16010,Social/ welfare services
64970,86170587,8227825,1990,Japan,Korea,59139618,32120,Industrial development
64884,86121724,8097263,1990,Sweden,South Africa,153484,16010,Social/ welfare services
63060,85168675,8076768,1990,Sweden,Chile,566710,16010,Social/ welfare services
63373,85329504,8014519,1990,France,Chile,1781908,21030,Rail transport
1122,3009782,,1990,United States,Brazil,40810451,22020,Telecommunications
63276,85277096,10416479,1990,Sweden,Poland,23611,16010,Social/ welfare services
64971,86170626,8227933,1990,Japan,Korea,125838270,32120,Industrial development
62193,84717629,10416363,1990,Germany,Poland,2178121340,60040,RESCHEDULING AND REFINANCING
641,3008304,,1990,United States,Colombia,39251386,32120,Industrial development
856,3008921,,1990,United States,India,1107919,32120,Industrial development
882,3008964,,1990,United States,India,4396155,22020,Telecommunications
1120,3009773,,1990,United States,India,5595678,32120,Industrial development
692,3008430,,1990,United States,Poland,1570055,32120,Industrial development
1224,3011025,,1990,United States,Poland,2355083,32120,Industrial development
455,3004535,,1990,United States,Thailand,29287814,32120,Industrial development
69999,88865923,8098595,1990,Sweden,Chile,183708,16010,Social/ welfare services
454,3004534,,1990,United States,Thailand,20530045,32120,Industrial development
67216,87372778,8096845,1990,Sweden,South Africa,1046288,16010,Social/ welfare services
64283,85809620,8172501,1990,Canada,Thailand,7762982,32120,Industrial development
64424,85885687,8227717,1990,Japan,Korea,786489189,21030,Rail transport
68622,88120909,8096959,1990,Sweden,South Africa,457382,16010,Social/ welfare services
69795,88758321,8146370,1990,United Kingdom,India,48378872,16010,Social/ welfare services
64425,85885726,8230660,1990,Japan,Thailand,2184692,32120,Industrial development
68710,88171207,8226544,1990,Japan,India,13719867,21030,Rail transport
189,3003534,,1990,United States,Colombia,200543180,21050,Air transport
68711,88171246,8227897,1990,Japan,Korea,18875741,32120,Industrial development
62459,84852126,8118365,1990,Sweden,South Africa,619603,16010,Social/ welfare services
68847,88244901,8153097,1990,United Kingdom,Thailand,545606,32120,Industrial development
66305,86911640,8224969,1990,Japan,Chile,415092,16010,Social/ welfare services
69382,88527457,8076731,1990,Sweden,Chile,377806,16010,Social/ welfare services
68896,88271533,8031963,1990,Germany,Thailand,9028111,21030,Rail transport
64574,85957859,8152353,1990,United Kingdom,India,470350,32120,Industrial development
69381,88526909,8075123,1990,Sweden,South Africa,103425,16010,Social/ welfare services
69380,88526714,8075051,1990,Sweden,South Africa,70839,16010,Social/ welfare services
69202,88440020,8229748,1990,Japan,Brazil,18056481,32120,Industrial development
68968,88316399,8066991,1990,Netherlands,India,197657,21030,Rail transport
67487,87521028,8097035,1990,Sweden,South Africa,778045,16010,Social/ welfare services
64423,85884829,8195961,1990,United States,India,3140111,32120,Industrial development
62456,84850487,8069025,1990,Norway,India,855699,32220,Mineral/Metal prospection and exploration
70342,89047338,8225289,1990,Japan,India,16559967,32220,Mineral/Metal prospection and exploration
70415,89075996,8146830,1990,United Kingdom,India,32937949,21030,Rail transport
68398,88006034,8098862,1990,Sweden,Chile,8984,16010,Social/ welfare services
67570,87569560,8227573,1990,Japan,Thailand,167325575,22020,Telecommunications
70716,89233447,8076694,1990,Sweden,Chile,897290,16010,Social/ welfare services
70816,89292238,8226174,1990,Japan,Thailand,10923461,32120,Industrial development
70443,89090407,8152260,1990,United Kingdom,India,2311435,32120,Industrial development
68423,88019895,8028697,1990,France,Thailand,7572945,23030,Power generation/renewable sources
70817,89292277,8227861,1990,Japan,Korea,26740632,32120,Industrial development
67138,87339228,8013435,1990,France,India,51318947,23020,Power generation/non-renewable sources
64415,85881940,8013671,1990,France,Thailand,9766637,23020,Power generation/non-renewable sources
70140,88930214,8153066,1990,United Kingdom,Thailand,618174,32120,Industrial development
691,3008429,,1990,United States,Poland,4710166,32120,Industrial development
507,3007777,,1990,United States,Korea,706525,32120,Industrial development
67690,87640702,8500417,1991,Japan,Thailand,521656,16010,Social/ welfare services
64012,85661158,8439630,1991,United Kingdom,Thailand,2062033,32120,Industrial development
64013,85661899,8474083,1991,United States,India,1637606,32120,Industrial development
64578,85960278,8279680,1991,France,Chile,15331980,53030,Import support (capital goods)
67010,87268469,8503433,1991,Japan,India,215646405,32120,Industrial development
508,3007778,,1991,United States,Korea,28658111,32120,Industrial development
67574,87570925,8306461,1991,Italy,Colombia,394409,32120,Industrial development
64582,85961293,8348688,1991,Netherlands,India,176338,16010,Social/ welfare services
557,3008034,,1991,United States,Brazil,1116896,32120,Industrial development
67046,87288654,10419283,1991,Japan,Poland,479072,16010,Social/ welfare services
630,3008293,,1991,United States,Chile,35633101,32120,Industrial development
646,3008310,,1991,United States,Colombia,4162249,32120,Industrial development
64854,86105870,8433481,1991,United Kingdom,India,75348329,53030,Import support (capital goods)
140,3003358,,1991,United States,India,950721,22020,Telecommunications
645,3008308,,1991,United States,Colombia,151630218,32220,Mineral/Metal prospection and exploration
644,3008307,,1991,United States,Colombia,5746194,32120,Industrial development
303,3003961,,1991,United States,Brazil,244371809,22020,Telecommunications
64702,86028699,8508296,1991,Japan,Thailand,574887,32120,Industrial development
67148,87344025,8344044,1991,Netherlands,Chile,14375351,16010,Social/ welfare services
629,3008251,,1991,United States,Chile,127066123,32220,Mineral/Metal prospection and exploration
456,3004538,,1991,United States,Thailand,39714987,32120,Industrial development
632,3008295,,1991,United States,Chile,8339662,32120,Industrial development
66917,87216965,8297651,1991,Germany,Thailand,9176888,32120,Industrial development
631,3008294,,1991,United States,Chile,15498428,32220,Mineral/Metal prospection and exploration
66920,87217121,8366386,1991,Sweden,Chile,433354,16010,Social/ welfare services
141,3003359,,1991,United States,India,1511753,32120,Industrial development
647,3008311,,1991,United States,Colombia,2320230,32220,Mineral/Metal prospection and exploration
69164,88417577,8506734,1991,Japan,Saudi Arabia,67070120,32120,Industrial development
64015,85662406,8500129,1991,Japan,Colombia,500364,16010,Social/ welfare services
698,3008437,,1991,United States,Poland,69749900,32220,Mineral/Metal prospection and exploration
68719,88175190,8502278,1991,Japan,India,319381524,32120,Industrial development
64069,85683884,8296478,1991,Germany,India,72497414,53030,Import support (capital goods)
68715,88172495,8314000,1991,Italy,Chile,524245,16010,Social/ welfare services
62387,84822579,8508260,1991,Japan,Thailand,638763,32120,Industrial development
1126,3009839,,1991,United States,Poland,14404871,32120,Industrial development
1157,3010253,,1991,United States,Chile,24564095,32220,Mineral/Metal prospection and exploration
62931,85096065,8316871,1991,Italy,Chile,401758,16010,Social/ welfare services
65832,86662425,8349477,1991,Netherlands,India,402510,21030,Rail transport
1237,3011054,,1991,United States,Brazil,56861332,32120,Industrial development
65833,86662817,8412358,1991,Sweden,Chile,1733349,16010,Social/ welfare services
65836,86663441,8456334,1991,Canada,India,7608167,32120,Industrial development
62437,84845824,8406886,1991,Sweden,India,27085,16010,Social/ welfare services
1082,3009650,,1991,United States,Poland,10644441,32120,Industrial development
69840,88786931,8504668,1991,Japan,Thailand,48950542,22020,Telecommunications
66460,86989651,8383127,1991,Sweden,India,77433,16010,Social/ welfare services
68565,88095492,8502168,1991,Japan,India,66239728,23030,Power generation/renewable sources
69860,88795678,8279720,1991,France,Colombia,4252455,21050,Air transport
69937,88841519,8498913,1991,Japan,India,415196,16010,Social/ welfare services
66519,87016437,8409508,1991,Sweden,Chile,368351,16010,Social/ welfare services
70002,88866708,8403375,1991,Sweden,Chile,173342,16010,Social/ welfare services
70819,89294189,8397865,1991,Sweden,India,52002,16010,Social/ welfare services
65921,86700703,8397391,1991,Sweden,India,86671,16010,Social/ welfare services
62829,85041866,8409701,1991,Sweden,Colombia,4984,16010,Social/ welfare services
66048,86774692,10417591,1991,Sweden,Poland,8234,16010,Social/ welfare services
62772,85016520,8438979,1991,United Kingdom,India,487253,32120,Industrial development
66497,87011948,10417375,1991,Sweden,Poland,216681,16010,Social/ welfare services
697,3008436,,1991,United States,Poland,2783931,32120,Industrial development
69595,88645547,8504524,1991,Japan,Thailand,114029850,21030,Rail transport
70339,89043555,8506587,1991,Japan,Thailand,4258420,32120,Industrial development
62384,84821370,8431128,1991,United Kingdom,India,3767416,23020,Power generation/non-renewable sources
915,3009019,,1991,United States,Saudi Arabia,9234280,32220,Mineral/Metal prospection and exploration
62464,84857200,8438096,1991,United Kingdom,South Africa,2511611,16010,Social/ welfare services
69456,88568971,8383272,1991,Sweden,India,21668,16010,Social/ welfare services
63131,85199838,8298055,1991,Germany,India,71304419,21030,Rail transport
66690,87109336,8462673,1991,United States,Thailand,1067477,16010,Social/ welfare services
715,3008455,,1991,United States,Thailand,10614115,32120,Industrial development
65375,86395167,8404171,1991,Sweden,India,93171,32120,Industrial development
714,3008454,,1991,United States,Thailand,10614115,32120,Industrial development
712,3008452,,1991,United States,Thailand,9097813,32120,Industrial development
65125,86245174,8414454,1991,Sweden,India,2383447,32120,Industrial development
1011,3009401,,1991,United States,Chile,75815109,32220,Mineral/Metal prospection and exploration
65437,86444759,8438948,1991,United Kingdom,India,499811,32120,Industrial development
63233,85257678,8490055,1991,Japan,India,3992269,32120,Industrial development
65438,86444798,8439010,1991,United Kingdom,India,1351247,32120,Industrial development
1034,3009511,,1991,United States,Poland,22248702,32120,Industrial development
65478,86464196,10417262,1991,France,Poland,1822513,32120,Industrial development
1041,3009523,,1991,United States,India,37119077,32120,Industrial development
63154,85207769,10417972,1991,United Kingdom,Poland,37674165,32120,Industrial development
699,3008438,,1991,United States,Poland,5458688,32120,Industrial development
67979,87798321,8321468,1991,Italy,Colombia,2795156,21050,Air transport
66464,86993946,8628405,1992,Netherlands,India,514196,32120,Industrial development
64433,85891420,8619772,1992,Netherlands,Brazil,46745,16010,Social/ welfare services
64434,85892123,8694254,1992,Sweden,South Africa,42916,16010,Social/ welfare services
62471,84860325,8619804,1992,Netherlands,Brazil,27112,16010,Social/ welfare services
64295,85817192,8732762,1992,United Kingdom,India,1000718,23020,Power generation/non-renewable sources
67161,87349065,8723041,1992,United Kingdom,India,27391928,32220,Mineral/Metal prospection and exploration
63848,85570932,8751720,1992,United Kingdom,India,4838023,23020,Power generation/non-renewable sources
64706,86030261,8616763,1992,Netherlands,Chile,38331,16010,Social/ welfare services
66164,86837162,8616190,1992,Netherlands,India,30852,16010,Social/ welfare services
64159,85739333,8742083,1992,United Kingdom,India,978805,22020,Telecommunications
64162,85739567,8748309,1992,United Kingdom,India,1295334,32220,Mineral/Metal prospection and exploration
66167,86838375,8732796,1992,United Kingdom,India,41747734,23030,Power generation/renewable sources
67312,87428225,8844822,1992,Japan,India,138582446,23020,Power generation/non-renewable sources
67308,87427289,8787772,1992,Canada,Chile,344905,32120,Industrial development
66171,86839780,8807104,1992,United States,South Africa,370296,16010,Social/ welfare services
62622,84936334,8551994,1992,France,India,22987299,53030,Import support (capital goods)
67303,87425687,8704969,1992,Sweden,India,3433264,21030,Rail transport
66364,86939010,8596506,1992,Italy,Colombia,4178565,22020,Telecommunications
64589,85964768,8616860,1992,Netherlands,India,24307,16010,Social/ welfare services
67017,87271434,8694288,1992,Sweden,South Africa,214579,16010,Social/ welfare services
63700,85492465,8750930,1992,United Kingdom,India,1604558,16010,Social/ welfare services
66742,87134061,8681266,1992,Sweden,South Africa,19312,16010,Social/ welfare services
66741,87133670,8595350,1992,Italy,Colombia,8299296,21050,Air transport
64983,86176247,8629132,1992,Netherlands,India,172022,16010,Social/ welfare services
64982,86175974,8616326,1992,Netherlands,Brazil,1402354,16010,Social/ welfare services
66699,87113751,8722262,1992,United Kingdom,India,6087095,21030,Rail transport
62470,84860247,10421861,1992,Germany,Poland,146810655,60040,RESCHEDULING AND REFINANCING
63297,85280489,8568858,1992,Germany,India,226373056,32120,Industrial development
66834,87188412,8752583,1992,United Kingdom,India,6087095,32220,Mineral/Metal prospection and exploration
64156,85736950,8576663,1992,Italy,Colombia,1330858,21050,Air transport
63237,85259709,8614285,1992,Netherlands,Brazil,28047,16010,Social/ welfare services
66921,87217552,8568373,1992,Germany,India,21766640,32120,Industrial development
63586,85433240,8616699,1992,Netherlands,Brazil,18698,16010,Social/ welfare services
63601,85438997,8694492,1992,Sweden,South Africa,564343,16010,Social/ welfare services
63075,85179915,8844971,1992,Japan,India,204750743,23020,Power generation/non-renewable sources
64859,86108211,8576567,1992,Italy,Colombia,5738885,32120,Industrial development
62392,84826291,8742014,1992,United Kingdom,India,413922,32120,Industrial development
62963,85114352,10424620,1992,Sweden,Poland,77230,16010,Social/ welfare services
67011,87269717,8567375,1992,Germany,India,97514547,23020,Power generation/non-renewable sources
62018,84621864,8746312,1992,United Kingdom,India,121742,32220,Mineral/Metal prospection and exploration
65842,86666327,8845009,1992,Japan,India,256561966,32120,Industrial development
67015,87270536,8614351,1992,Netherlands,Chile,14024,16010,Social/ welfare services
62009,84618820,10420216,1992,Sweden,Poland,24542,16010,Social/ welfare services
65843,86666913,8640088,1992,Norway,India,2316419,21050,Air transport
67044,87288264,10420890,1992,Sweden,Poland,65860,16010,Social/ welfare services
65849,86668673,8787871,1992,Canada,Brazil,217440,32120,Industrial development
65907,86695818,8649773,1992,Sweden,South Africa,64374,23020,Power generation/non-renewable sources
62438,84846179,8649813,1992,Sweden,South Africa,278953,16010,Social/ welfare services
64020,85665138,8694866,1992,Sweden,South Africa,15021,16010,Social/ welfare services
66009,86756052,8609801,1992,Netherlands,India,1794078,32120,Industrial development
64751,86052527,8682247,1992,Sweden,Chile,815400,16010,Social/ welfare services
66697,87112771,8642210,1992,Norway,India,3067089,32120,Industrial development
64157,85738982,8731940,1992,United Kingdom,Colombia,706103,32220,Mineral/Metal prospection and exploration
1263,3011131,,1992,United States,Colombia,25832441,23020,Power generation/non-renewable sources
69727,88716619,8841720,1992,Japan,India,446421175,23020,Power generation/non-renewable sources
69800,88764488,8553120,1992,France,India,9807914,32120,Industrial development
636,3008299,,1992,United States,Chile,68578818,32120,Industrial development
634,3008297,,1992,United States,Chile,37029599,32120,Industrial development
633,3008296,,1992,United States,Chile,100113225,22020,Telecommunications
69847,88790174,8567726,1992,Germany,India,8706656,32120,Industrial development
70015,88873032,10422793,1992,Sweden,Poland,77230,16010,Social/ welfare services
70122,88923693,8650012,1992,Sweden,South Africa,30041,16010,Social/ welfare services
563,3008040,,1992,United States,Brazil,14219366,32120,Industrial development
560,3008037,,1992,United States,Brazil,4099354,32120,Industrial development
70135,88927601,8553761,1992,France,Chile,3357281,21030,Rail transport
69722,88713772,8744736,1992,United Kingdom,India,1497425,23020,Power generation/non-renewable sources
70221,88981141,8842961,1992,Japan,Thailand,360236810,32120,Industrial development
67773,87679310,10421557,1992,Sweden,Poland,24542,16010,Social/ welfare services
460,3004542,,1992,United States,Thailand,12316178,32120,Industrial development
459,3004541,,1992,United States,Thailand,115532350,22020,Telecommunications
458,3004540,,1992,United States,Thailand,78820020,32120,Industrial development
70369,89055456,8721796,1992,United Kingdom,India,3876262,21030,Rail transport
67695,87642379,8744563,1992,United Kingdom,India,3842174,32220,Mineral/Metal prospection and exploration
457,3004539,,1992,United States,Thailand,84467626,23020,Power generation/non-renewable sources
419,3004427,,1992,United States,Kuwait,7405919860,53030,Import support (capital goods)
1075,3009611,,1992,United States,Chile,97256465,32120,Industrial development
359,3004309,,1992,United States,Poland,364469015,21050,Air transport
70536,89135309,10420867,1992,Germany,Poland,7727367759,60040,RESCHEDULING AND REFINANCING
559,3008036,,1992,United States,Brazil,5590403,21050,Air transport
70620,89186061,8732660,1992,United Kingdom,India,11468087,32220,Mineral/Metal prospection and exploration
69715,88709594,8619493,1992,Netherlands,India,93490262,16010,Social/ welfare services
703,3008442,,1992,United States,Poland,37029599,32120,Industrial development
1015,3009405,,1992,United States,Colombia,148118397,23020,Power generation/non-renewable sources
1014,3009404,,1992,United States,Colombia,51841439,23020,Power generation/non-renewable sources
68350,87986938,8844786,1992,Japan,India,346718105,32220,Mineral/Metal prospection and exploration
68344,87984751,8704830,1992,Sweden,Thailand,8347123,32120,Industrial development
68975,88322915,8553200,1992,France,Thailand,6697534,32120,Industrial development
68979,88325569,8722397,1992,United Kingdom,India,8521933,32220,Mineral/Metal prospection and exploration
69216,88446150,8742948,1992,United Kingdom,India,2500579,21030,Rail transport
1035,3009512,,1992,United States,Poland,2334198,32120,Industrial development
985,3009346,,1992,United States,Thailand,30480544,32120,Industrial development
69266,88467361,8787607,1992,Canada,India,497862,32120,Industrial development
916,3009021,,1992,United States,Saudi Arabia,361207,32220,Mineral/Metal prospection and exploration
69688,88691820,8649893,1992,Sweden,South Africa,107290,16010,Social/ welfare services
69421,88546994,8748343,1992,United Kingdom,India,3944438,21030,Rail transport
69504,88590723,8685757,1992,Sweden,South Africa,534710,16010,Social/ welfare services
885,3008967,,1992,United States,India,13034419,32120,Industrial development
884,3008966,,1992,United States,India,44990963,32120,Industrial development
883,3008965,,1992,United States,India,2799438,32120,Industrial development
67985,87802576,8606789,1992,Netherlands,India,46745,23030,Power generation/renewable sources
722,3008470,,1992,United States,Poland,29623679,32120,Industrial development
67984,87802185,8589357,1992,Italy,Chile,113839,16010,Social/ welfare services
721,3008469,,1992,United States,Poland,148118397,32120,Industrial development
706,3008445,,1992,United States,Poland,17817162,32120,Industrial development
705,3008444,,1992,United States,Poland,2221776,32120,Industrial development
704,3008443,,1992,United States,Poland,94795774,22020,Telecommunications
69484,88580347,8569460,1992,Germany,India,21766640,32120,Industrial development
70621,89186139,8732728,1992,United Kingdom,India,289745732,23020,Power generation/non-renewable sources
68472,88041916,8567648,1992,Germany,India,53110602,53030,Import support (capital goods)
1210,3010831,,1992,United States,Brazil,62634234,21050,Air transport
147,3003365,,1992,United States,India,888768149,21050,Air transport
143,3003361,,1992,United States,India,646913,22020,Telecommunications
1202,3010535,,1992,United States,India,5998795,32120,Industrial development
1115,3009753,,1992,United States,Saudi Arabia,148118397,32120,Industrial development
142,3003360,,1992,United States,India,12144079,32120,Industrial development
70881,89323052,8844533,1992,Japan,Chile,67195300,21030,Rail transport
1140,3009973,,1992,United States,Poland,3999197,32120,Industrial development
70769,89258992,8596463,1992,Italy,Colombia,3621905,22020,Telecommunications
191,3003536,,1992,United States,Colombia,44260295,16010,Social/ welfare services
65852,86671368,8925155,1993,Italy,Brazil,1129700,22020,Telecommunications
69324,88492013,9025965,1993,Sweden,South Africa,41567,16010,Social/ welfare services
67491,87523333,9025213,1993,Sweden,South Africa,124702,16010,Social/ welfare services
69808,88770810,8980712,1993,Netherlands,Brazil,26687,16010,Social/ welfare services
69809,88770849,8981302,1993,Netherlands,India,12883,16010,Social/ welfare services
66315,86921635,8930287,1993,Italy,South Africa,449621,16010,Social/ welfare services
62165,84699060,9118351,1993,Canada,India,3800125,32120,Industrial development
1121,3009774,,1993,United States,India,169382936,32120,Industrial development
63596,85436840,9026841,1993,Sweden,South Africa,358518,16010,Social/ welfare services
649,3008313,,1993,United States,Colombia,13332332,32220,Mineral/Metal prospection and exploration
71120,89434690,9037430,1993,Sweden,Brazil,1652300,16010,Social/ welfare services
64990,86181050,8984310,1993,Netherlands,Brazil,62576,16010,Social/ welfare services
63627,85448133,8924260,1993,Germany,Colombia,10885746,16010,Social/ welfare services
70078,88909912,9123087,1993,Canada,India,183531,16010,Social/ welfare services
567,3008045,,1993,United States,Brazil,1505597,22020,Telecommunications
566,3008044,,1993,United States,Brazil,57966663,22020,Telecommunications
65143,86253922,8944797,1993,Italy,Brazil,80869197,22020,Telecommunications
69287,88478182,9169954,1993,Japan,Thailand,107793423,21030,Rail transport
66319,86924094,9093857,1993,United Kingdom,India,1473626,32220,Mineral/Metal prospection and exploration
71117,89430751,9037626,1993,Sweden,Colombia,1252215,16010,Social/ welfare services
67861,87728975,9027141,1993,Sweden,South Africa,358518,16010,Social/ welfare services
69282,88475255,8982976,1993,Netherlands,India,78220,16010,Social/ welfare services
65463,86455612,9117875,1993,Canada,Brazil,2539782,32120,Industrial development
69280,88474787,8954035,1993,Netherlands,India,23006003,53030,Import support (capital goods)
1059,3009561,,1993,United States,Brazil,32795944,22020,Telecommunications
64886,86123766,9026881,1993,Sweden,South Africa,1153493,16010,Social/ welfare services
63402,85343368,9027177,1993,Sweden,South Africa,45724,16010,Social/ welfare services
67858,87726595,8903678,1993,France,Chile,87810039,21030,Rail transport
194,3003539,,1993,United States,Colombia,37859622,23020,Power generation/non-renewable sources
69530,88603071,9027285,1993,Sweden,South Africa,97683,16010,Social/ welfare services
69534,88603227,9027878,1993,Sweden,South Africa,1517206,22020,Telecommunications
69558,88625749,9070105,1993,Sweden,India,6235096,16010,Social/ welfare services
1051,3009546,,1993,United States,Colombia,25498086,23020,Power generation/non-renewable sources
195,3003540,,1993,United States,Colombia,74034877,23020,Power generation/non-renewable sources
65752,86613501,9036196,1993,Sweden,Brazil,62351,16010,Social/ welfare services
69620,88655501,9169736,1993,Japan,Thailand,45951237,23030,Power generation/renewable sources
67458,87507592,9127162,1993,Canada,Colombia,47363,32120,Industrial development
886,3008968,,1993,United States,India,52169997,32120,Industrial development
67455,87507201,9026921,1993,Sweden,South Africa,103918,16010,Social/ welfare services
718,3008459,,1993,United States,Thailand,14491666,32120,Industrial development
62275,84766507,9172481,1993,Japan,Thailand,166150660,32120,Industrial development
66701,87116841,8934880,1993,Italy,Colombia,2009737,32120,Industrial development
66703,87119417,9118657,1993,Canada,Thailand,1833226,32120,Industrial development
